"State","federalFunding","totalFederalFunding","benefitsRecipients","medianHouseholdIncome"
"Virginia","10301","176800000000","8.1000","71535"
"Kentucky","9145","70800000000","14.1000","48375"
"New Mexico","8692","31700000000","17.4000","46744"
"West Virginia","7283","24600000000","16.8000","43469"
"Alaska","7048","13000000000","10.8000","73181"
"Mississippi","6880","37800000000","15.3000","43529"
"Alabama","6694","65800000000","14","48123"
"Maryland","6035","105100000000","10.3000","80776"
"Maine","5572","17400000000","12.8000","56277"
"Hawaii","5270","19900000000","10.7000","77765"
"Arkansas","5080","35100000000","11.8000","45869"
"South Carolina","5008","59700000000","12.3000","50570"
"Arizona","4430","82800000000","10.8000","56581"
"Oklahoma","3986","45100000000","13.2000","50051"
"Missouri","3949","72300000000","11","53578"
"Montana","3808","12200000000","9.4000","53386"
"Louisiana","3785","52000000000","16.4000","46145"
"Vermont","3741","8000000000","11.5000","57513"
"Tennessee","3591","76300000000","13.5000","51340"
"Idaho","3428","17500000000","9.7000","52225"
"North Carolina","3358","113100000000","12.3000","52752"
"Delaware","2892","11500000000","10.4000","62852"
"Ohio","2750","125700000000","13.2000","54021"
"Oregon","2477","45700000000","15.4000","60212"
"Michigan","2474","108400000000","13.1000","54909"
"Indiana","2359","67800000000","9.3000","54181"
"Pennsylvania","2299","155800000000","12.9000","59195"
"Georgia","2253","104500000000","12.6000","56183"
"Rhode Island","2228","12600000000","15.4000","63870"
"Florida","2187","237700000000","13.6000","52594"
"Kansas","1983","31300000000","7.7000","56422"
"South Dakota","1409","9300000000","8.9000","56521"
"Nevada","1140","28700000000","12.2000","58003"
"Iowa","1105","29900000000","9.6000","58570"
"Minnesota","959","64400000000.0000","7.8000","68388"
"Wyoming","670","7100000000","6.3000","60434"
"Wisconsin","536","55400000000","10.6000","59305"
"Texas","304","269000000000","12","59206"
"Utah","296","23900000000","6.8000","68358"
"California","12","436100000000","8.9000","71805"
"Colorado","-95","57500000000","7.6000","69117"
"Nebraska","-164","17700000000","8.3000","59970"
"Washington","-184","80500000000","12.3000","70979"
"New Hampshire","-234","15000000000","7","73381"
"Illinois","-364","131800000000.0000","12.9000","62992"
"North Dakota","-720","7900000000","6.3000","61843"
"New York","-1792","220600000000","14.8000","64894"
"Massachusetts","-2343","78700000000","11.7000","77385"
"New Jersey","-2368","97700000000","8.9000","80088"
"Connecticut","-4000","41100000000","12","74168"
