1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (MS Senate),GE RUNOFF ELECTION % (MS Senate),"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
2,,,,n/a,,,,,,,,,,,,,,,,,,
3,AZ,Arizona,S,S8AZ00197,,Kyrsten,Sinema,"Sinema, Kyrsten",,D,"404,170",79.25%,,,"1,191,100",49.96%,,,,,W,
4,AZ,Arizona,S,S8AZ00122,,Deedra,Abboud,"Abboud, Deedra",,D,"105,800",20.75%,,,,,,,,,,
5,AZ,Arizona,S,n/a,,,,,Party Votes:,D,"509,970",,,,,,,,,,,
6,AZ,Arizona,S,S8AZ00221,,Martha,McSally,"McSally, Martha",,R,"357,626",54.57%,,,"1,135,200",47.61%,,,,,,
7,AZ,Arizona,S,S6AZ00233,,Kelli,Ward,"Ward, Kelli",,R,"180,926",27.61%,,,,,,,,,,
8,AZ,Arizona,S,S8AZ00247,,Joe,Arpaio,"Arpaio, Joe",,R,"116,555",17.79%,,,,,,,,,,
9,AZ,Arizona,S,n/a,,Nicholas N.,Glenn,"Glenn, Nicholas N.",,W(R),121,0.02%,,,,,,,,,,
10,AZ,Arizona,S,n/a,,William,Gonzales,"Gonzales, William",,W(R),70,0.01%,,,,,,,,,,
11,AZ,Arizona,S,n/a,,,,,Party Votes:,R,"655,298",,,,,,,,,,,
12,AZ,Arizona,S,S8AZ00304,,Angela,Green,"Green, Angela",,W(GRE)/GRE,389,100.00%,,,"57,442",2.41%,,,,,,
13,AZ,Arizona,S,n/a,,,,,Party Votes:,GRE,389,,,,,,,,,,,
14,AZ,Arizona,S,S0AZ00145,,Barry,Hess,"Hess, Barry",,W,,,,,365,0.02%,,,,,,
15,AZ,Arizona,S,S8AZ00353,,Jonathan,Ringham B,"Ringham B, Jonathan",,W,,,,,46,0.00%,,,,,,
16,AZ,Arizona,S,S8AZ00320,,Michael,DeCarlo,"DeCarlo, Michael",,W,,,,,45,0.00%,,,,,,
17,AZ,Arizona,S,S2AZ00273,,Sheila,Bilyeu,"Bilyeu, Sheila",,W,,,,,42,0.00%,,,,,,
18,AZ,Arizona,S,S8AZ00338,,Robert,Kay,"Kay, Robert",,W,,,,,37,0.00%,,,,,,
19,AZ,Arizona,S,S8AZ00346,,Jeff,Pearce,"Pearce, Jeff",,W,,,,,29,0.00%,,,,,,
20,AZ,Arizona,S,S8AZ00312,,Edward,Davida,"Davida, Edward",,W,,,,,2,0.00%,,,,,,
21,AZ,Arizona,S,S8AZ00296,,Adam,Kokesh,"Kokesh, Adam",,W(LIB),"2,169",100.00%,,,,,,,,,,
22,AZ,Arizona,S,n/a,,,,,Party Votes:,LIB,"2,169",,,,,,,,,,,
23,AZ,Arizona,S,n/a,,,,,Total State Votes:,,"1,167,826",,,,"2,384,308",,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,
25,CA,California,S,S0CA00199,(I),Dianne,Feinstein,"Feinstein, Dianne",,D,"2,947,035",44.18%,,,"6,019,422",54.16%,,,,,W,
26,CA,California,S,S8CA00408,,Kevin,De Leon,"De Leon, Kevin",,D,"805,446",12.07%,,,"5,093,942",45.84%,,,,,,
27,CA,California,S,S8CA00515,,James P.,Bradley,"Bradley, James P.",,R,"556,252",8.34%,,,,,,,,,,
28,CA,California,S,S8CA00572,,Arun K.,Bhumitra,"Bhumitra, Arun K.",,R,"350,815",5.26%,,,,,,,,,,
29,CA,California,S,S8CA00481,,Paul A.,Taylor,"Taylor, Paul A.",,R,"323,534",4.85%,,,,,,,,,,
30,CA,California,S,S8CA00440,,Erin,Cruz,"Cruz, Erin",,R,"267,494",4.01%,,,,,,,,,,
31,CA,California,S,S6CA00675,,Tom,Palzer,"Palzer, Tom",,R,"205,183",3.08%,,,,,,,,,,
32,CA,California,S,S8CA00416,,Alison,Hartson,"Hartson, Alison",,D,"147,061",2.20%,,,,,,,,,,
33,CA,California,S,S8CA00598,,"Roque ""Rocky""",De La Fuente,"De La Fuente, Roque ""Rocky""",,R,"135,279",2.03%,,,,,,,,,,
34,CA,California,S,S8CA00358,,Pat ,Harris,"Harris, Pat ",,D,"126,947",1.90%,,,,,,,,,,
35,CA,California,S,S8CA00580,,"John ""Jack""",Crew,"Crew, John ""Jack""",,R,"93,808",1.41%,,,,,,,,,,
36,CA,California,S,S8CA00606,,Patrick,Little,"Little, Patrick",,R,"89,867",1.35%,,,,,,,,,,
